Data,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-12-21,20616.67,19736.61
2015-12-22,20401.92,19810.76
2015-12-23,19761.83,19503.43
2015-12-24,16022.08,15810.31
2015-12-25,13983.33,13446.58
2015-12-26,14025.0,13428.25
2015-12-27,15291.67,14522.47
2015-12-28,18274.96,17921.31
2015-12-29,19087.5,18645.28
2015-12-30,19520.83,18877.45
2015-12-31,17658.33,17281.93
2016-01-01,14904.17,15060.59
2016-01-02,16933.46,17006.76
2016-01-03,17152.62,17392.58
2016-01-04,20798.42,21035.03
2016-01-05,21770.83,21709.92
2016-01-06,17460.42,18351.18
2016-01-07,20862.5,21324.73
2016-01-08,21279.17,21455.24
2016-01-09,19545.83,19368.13
2016-01-10,17902.08,17479.53
2016-01-11,21216.67,20882.41
2016-01-12,21754.17,21299.02
2016-01-13,21376.12,21230.93
2016-01-14,21541.21,21297.26
2016-01-15,21806.25,21312.64
2016-01-16,19557.88,19390.53
2016-01-17,17798.38,17899.57
2016-01-18,21629.17,21413.88
2016-01-19,22300.0,22063.26
2016-01-20,22466.67,22172.46
2016-01-21,22431.25,21975.6
2016-01-22,22155.54,21922.34
2016-01-23,19830.46,20026.1
2016-01-24,18104.17,17767.3
2016-01-25,21354.17,20923.93
2016-01-26,21433.33,19542.34
2016-01-27,21491.67,20727.31
2016-01-28,21331.25,20475.05
2016-01-29,21425.0,20436.61
2016-01-30,19143.75,18138.28
2016-01-31,16572.92,16326.51
2016-02-01,20441.67,20065.7
2016-02-02,20414.29,20069.65
2016-02-03,20373.75,20180.88
2016-02-04,20887.5,20411.22
2016-02-05,21050.0,20688.23
2016-02-06,18662.5,18372.28
2016-02-07,16789.58,16314.74
2016-02-08,20297.92,19591.41
2016-02-09,20568.75,19979.16
2016-02-10,20737.5,20382.4
2016-02-11,20787.5,20571.86
2016-02-12,20910.42,20497.73
2016-02-13,18783.33,18666.01
2016-02-14,16925.0,16637.51
2016-02-15,20358.33,20097.04
2016-02-16,20975.0,20676.0
2016-02-17,20991.67,20594.35
2016-02-18,20833.33,20684.16
2016-02-19,20945.83,20804.63
2016-02-20,18716.67,18362.51
2016-02-21,16762.5,16438.77
2016-02-22,20175.0,19570.71
2016-02-23,20800.0,20360.74
2016-02-24,20733.33,20322.81
2016-02-25,20816.67,20516.16
2016-02-26,20556.62,20549.82
2016-02-27,18495.83,18507.98
2016-02-28,16662.5,16524.16
2016-02-29,20389.58,19963.76
2016-03-01,20713.42,20781.93
2016-03-02,20808.33,20614.99
2016-03-03,20754.17,20509.2
2016-03-04,20766.67,20434.41
2016-03-05,18437.5,18106.13
2016-03-06,16320.83,16238.81
2016-03-07,20041.67,19798.36
2016-03-08,20420.83,20276.29
2016-03-09,20512.5,20377.43
2016-03-10,20502.08,20343.87
2016-03-11,20583.33,20438.75
2016-03-12,18425.0,18467.05
2016-03-13,16570.83,16475.62
2016-03-14,20064.58,19905.35
2016-03-15,20845.83,20687.41
2016-03-16,20568.75,20395.86
2016-03-17,20685.42,20164.98
2016-03-18,20466.67,20056.79
2016-03-19,18575.0,18324.58
2016-03-20,16637.5,16522.45
2016-03-21,19737.5,19704.87
2016-03-22,20583.33,20377.53
2016-03-23,20432.42,20462.52
2016-03-24,20391.83,20329.06
2016-03-25,20041.67,19497.9
2016-03-26,16593.75,16317.0
2016-03-27,14097.83,13532.22
2016-03-28,13943.75,13546.82
2016-03-29,18404.46,18189.7
2016-03-30,20052.08,19395.36
2016-03-31,20112.5,19338.2
2016-04-01,19866.67,19447.51
2016-04-02,17550.0,17317.2
2016-04-03,15695.83,15370.43
2016-04-04,19062.5,18436.85
2016-04-05,19675.0,18865.49
2016-04-06,19454.17,18868.6
2016-04-07,19310.42,18860.3
2016-04-08,19354.17,18997.51
2016-04-09,17483.33,17220.75
2016-04-10,15727.08,15513.52
2016-04-11,18804.17,18773.54
2016-04-12,19325.0,19307.11
2016-04-13,19379.17,19165.41
2016-04-14,19190.92,19275.44
2016-04-15,19364.58,18984.41
2016-04-16,17333.33,16766.39
2016-04-17,15675.0,15081.32
2016-04-18,18906.25,18355.93
