Data,Temperatura,Wilogtność powietrza,Prędkość wiatru,Zachmurzenie
2016-05-14,12.11,30.57,2.05,6.97
2016-05-15,8.68,24.33,2.5,5.78
2016-05-16,7.03,25.64,2.07,5.62
2016-05-17,6.63,27.66,1.85,6.79
2016-05-18,8.16,28.81,1.07,6.61
2016-05-19,10.63,24.87,0.97,4.01
2016-05-20,12.44,23.26,1.23,3.61
2016-05-21,14.01,24.25,1.28,3.87
2016-05-22,16.29,22.88,1.24,3.36
2016-05-23,18.06,21.09,1.81,1.78
2016-05-24,17.58,21.21,1.93,2.73
2016-05-25,15.07,25.72,1.68,5.21
2016-05-26,14.59,29.25,1.45,5.09
2016-05-27,15.78,26.39,1.06,4.99
2016-05-28,17.71,25.72,1.22,5.23
2016-05-29,18.77,25.15,1.62,4.39
2016-05-30,19.24,25.48,1.86,5.32
2016-05-31,17.98,28.68,1.49,5.7
2016-06-01,17.63,27.85,1.62,5.14
2016-06-02,15.55,29.39,1.27,6.67
2016-06-03,16.54,26.5,1.41,5.08
2016-06-04,16.64,25.06,1.18,3.63
2016-06-05,16.26,23.37,1.52,2.92
2016-06-06,13.5,21.73,1.98,2.68
2016-06-07,12.54,20.15,1.32,1.37
2016-06-08,14.84,19.29,1.4,1.98
2016-06-09,14.67,23.74,1.49,5.11
2016-06-10,14.36,23.61,2.04,4.6
2016-06-11,12.73,24.61,1.47,5.93
2016-06-12,13.59,23.12,1.27,4.8
2016-06-13,14.5,23.68,1.86,5.5
2016-06-14,15.19,27.27,1.45,6.48
2016-06-15,15.95,29.26,1.33,5.94
2016-06-16,17.68,24.67,2.27,4.4
2016-06-17,20.21,24.7,3.69,4.99
2016-06-18,16.95,23.48,1.69,3.51
2016-06-19,17.94,23.37,1.53,4.12
2016-06-20,17.55,30.97,1.45,6.17
2016-06-21,18.1,27.78,1.52,4.8
2016-06-22,19.72,25.33,1.1,3.58
2016-06-23,21.46,24.2,1.21,2.6
2016-06-24,23.27,23.51,1.27,1.91
2016-06-25,23.89,23.93,1.81,3.43
2016-06-26,21.6,27.41,2.01,4.84
2016-06-27,17.16,28.83,1.39,7.02
2016-06-28,16.77,28.21,1.35,5.56
2016-06-29,18.3,24.53,1.08,3.0
2016-06-30,20.35,23.57,1.23,3.64
2016-07-01,20.3,27.45,1.14,4.8
2016-07-02,21.59,24.56,1.54,3.38
2016-07-03,17.07,31.16,1.69,6.09
2016-07-04,15.31,24.33,1.64,3.07
2016-07-05,16.58,23.01,1.44,3.68
2016-07-06,15.71,26.99,3.14,5.17
2016-07-07,14.35,25.67,2.7,4.42
2016-07-08,15.82,23.14,1.58,4.42
2016-07-09,16.38,29.04,2.46,6.46
2016-07-10,18.03,25.31,1.42,4.45
2016-07-11,22.06,22.43,2.36,3.62
2016-07-12,21.5,27.1,1.61,5.49
2016-07-13,19.25,30.32,1.43,6.04
2016-07-14,16.44,32.89,2.65,7.14
2016-07-15,14.39,28.55,2.59,6.31
2016-07-16,14.64,30.48,1.66,6.67
2016-07-17,15.2,32.13,1.64,7.17
2016-07-18,15.3,30.78,1.95,7.36
2016-07-19,15.48,30.39,1.72,6.76
2016-07-20,16.49,27.2,1.45,4.03
2016-07-21,17.11,24.15,1.67,2.51
2016-07-22,17.9,26.15,1.41,2.96
2016-07-23,18.49,27.86,1.12,3.85
2016-07-24,19.41,27.55,0.92,4.49
2016-07-25,20.81,27.88,0.98,5.24
2016-07-26,21.05,28.36,1.15,5.53
2016-07-27,20.36,30.13,1.13,5.42
2016-07-28,19.88,30.77,1.06,6.54
2016-07-29,19.11,31.31,1.04,5.87
2016-07-30,19.34,28.35,1.29,4.26
2016-07-31,20.06,28.12,1.35,5.34
2016-08-01,17.96,30.52,1.6,6.68
2016-08-02,16.27,27.04,0.99,3.84
2016-08-03,16.85,28.34,1.06,5.48
2016-08-04,20.23,27.83,1.54,4.7
2016-08-05,20.75,27.01,1.87,3.97
2016-08-06,16.79,32.59,1.56,7.35
2016-08-07,15.72,26.38,1.84,2.81
2016-08-08,17.63,23.87,1.34,2.37
2016-08-09,17.63,27.89,1.5,4.82
2016-08-10,13.24,32.03,1.43,7.49
2016-08-11,11.71,29.21,1.5,5.7
2016-08-12,12.09,26.17,1.11,4.55
2016-08-13,15.23,28.4,1.56,5.97
2016-08-14,17.5,27.97,1.86,4.97
2016-08-15,15.57,28.22,1.45,4.94
2016-08-16,13.89,28.93,1.37,6.53
2016-08-17,13.18,31.23,1.02,5.8
2016-08-18,14.1,28.3,1.19,4.56
2016-08-19,16.32,27.12,1.02,3.1
2016-08-20,17.98,26.23,1.16,3.5
2016-08-21,18.17,29.65,1.35,6.19
