Data,Godz.,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-19,24,18500.0,18055.03
2015-01-19,23,19800.0,19559.75
2015-01-19,22,21600.0,21097.98
2015-01-19,21,23000.0,22529.55
2015-01-19,20,23800.0,23441.85
2015-01-19,19,23900.0,23597.95
2015-01-19,7,20200.0,19347.35
2015-01-19,17,24300.0,23770.18
2015-01-19,16,22700.0,22843.78
2015-01-19,15,22700.0,23041.42
2015-01-19,10,22600.0,22757.6
2015-01-19,14,23100.0,23269.92
2015-01-19,18,24300.0,23925.38
2015-01-19,8,21500.0,21293.62
2015-01-19,9,22400.0,22261.2
2015-01-20,17,24600.0,23842.2
2015-01-20,18,24600.0,24067.7
2015-01-20,19,24200.0,23832.45
2015-01-20,23,20500.0,19714.45
2015-01-20,21,23500.0,22841.82
2015-01-20,22,22100.0,21158.3
2015-01-20,15,23300.0,23080.15
2015-01-20,24,19100.0,18270.3
2015-01-20,20,24200.0,23664.42
2015-01-20,14,23800.0,23351.98
2015-01-20,16,22900.0,22952.62
2015-01-20,12,23400.0,23225.48
2015-01-20,1,17300.0,16996.55
2015-01-20,13,23500.0,23263.65
2015-01-20,3,16500.0,16153.0
2015-01-20,4,16600.0,16210.55
2015-01-20,5,17000.0,16477.92
2015-01-20,2,16700.0,16412.08
2015-01-20,7,21100.0,20162.47
2015-01-20,8,22100.0,21865.48
2015-01-20,9,22800.0,22625.75
2015-01-20,10,23000.0,22896.92
2015-01-20,11,23300.0,22887.45
2015-01-20,6,18200.0,17320.28
2015-01-21,24,18800.0,18149.7
2015-01-21,23,20300.0,19584.92
2015-01-21,22,21900.0,21125.8
2015-01-21,21,23300.0,22687.58
2015-01-21,19,24100.0,23526.65
2015-01-21,18,24600.0,23853.4
2015-01-21,17,24500.0,23641.98
2015-01-21,16,23100.0,22709.28
2015-01-21,14,23800.0,23304.38
2015-01-21,20,24100.0,23348.7
2015-01-21,12,23400.0,23231.95
2015-01-21,1,17600.0,17379.8
2015-01-21,13,23600.0,23214.82
2015-01-21,2,16900.0,16705.7
2015-01-21,3,16700.0,16441.08
2015-01-21,4,16700.0,16561.53
2015-01-21,5,17100.0,16852.03
2015-01-21,15,23300.0,22931.8
2015-01-21,7,21200.0,20172.85
2015-01-21,8,22100.0,21949.48
2015-01-21,9,22900.0,22634.4
2015-01-21,11,23400.0,22951.02
2015-01-21,6,18300.0,17646.7
2015-01-21,10,23100.0,22932.65
2015-01-22,24,18390.0,18343.0
2015-01-22,23,19738.0,19802.88
2015-01-22,22,21340.0,21192.4
2015-01-22,20,23508.0,23572.22
2015-01-22,19,23938.0,23751.35
2015-01-22,18,24302.0,24162.5
2015-01-22,16,23000.0,22961.22
2015-01-22,15,23088.0,23126.4
2015-01-22,14,23435.0,23426.88
2015-01-22,21,22755.0,22864.25
2015-01-22,12,23376.0,23267.82
2015-01-22,1,17128.0,17179.03
2015-01-22,13,23416.0,23381.58
2015-01-22,2,16470.0,16465.7
2015-01-22,3,16228.0,16248.08
2015-01-22,4,16250.0,16197.35
2015-01-22,5,16562.0,16524.78
2015-01-22,17,23728.0,23856.0
2015-01-22,7,19958.0,20126.47
2015-01-22,8,21780.0,21716.88
2015-01-22,9,22532.0,22568.82
2015-01-22,11,23142.0,23102.98
2015-01-22,10,23032.0,23007.85
2015-01-22,6,17455.0,17322.32
2015-01-23,17,23575.0,23754.8
2015-01-23,16,23025.0,22938.55
2015-01-23,15,23200.0,23214.0
2015-01-23,14,23508.0,23490.05
2015-01-23,13,23452.0,23410.12
2015-01-23,12,23380.0,23368.2
2015-01-23,11,23092.0,23038.65
2015-01-23,9,22615.0,22526.4
2015-01-23,8,21889.0,21827.35
2015-01-23,7,20039.0,20217.38
2015-01-23,6,17653.0,17425.75
2015-01-23,4,16289.0,16436.25
2015-01-23,3,16276.0,16387.3
2015-01-23,2,16615.0,16726.7
2015-01-23,1,17304.0,17352.03
2015-01-23,10,22982.0,22916.68
2015-01-23,5,16614.0,16747.12
2015-01-23,18,24272.0,24162.75
2015-01-23,20,23685.0,23435.98
2015-01-23,19,23910.0,23773.25
2015-01-23,24,18350.0,18315.05
2015-01-23,21,22826.0,22604.12
2015-01-23,22,21212.0,20954.3
2015-01-23,23,19702.0,19575.03
2015-01-24,1,17422.0,17259.38
2015-01-24,24,17095.0,16696.7
2015-01-24,23,18298.0,17979.35
2015-01-24,22,19225.0,19106.88
2015-01-24,21,20530.0,20351.78
2015-01-24,20,21092.0,21065.12
2015-01-24,19,21480.0,21322.48
2015-01-24,17,21140.0,21022.35
2015-01-24,16,20466.0,20210.5
2015-01-24,15,20638.0,20375.42
2015-01-24,14,21065.0,21014.35
2015-01-24,18,21860.0,21526.12
2015-01-24,12,21100.0,21283.55
2015-01-24,2,16618.0,16552.7
2015-01-24,13,21190.0,21145.6
2015-01-24,4,16108.0,16022.55
2015-01-24,5,16182.0,16144.18
2015-01-24,6,16348.0,16297.82
2015-01-24,3,16195.0,16113.05
2015-01-24,8,18198.0,18194.62
2015-01-24,9,19348.0,19410.72
2015-01-24,10,20355.0,20442.82
2015-01-24,11,20810.0,21062.7
2015-01-24,7,17080.0,17379.08
2015-01-25,15,18233.0,18128.35
2015-01-25,23,17710.0,17620.88
2015-01-25,22,18590.0,18525.18
2015-01-25,21,19505.0,19347.92
2015-01-25,20,20020.0,19991.38
2015-01-25,19,20028.0,19993.75
2015-01-25,18,19935.0,19849.05
2015-01-25,17,18898.0,18961.47
2015-01-25,16,17942.0,17907.5
2015-01-25,14,18557.0,18523.65
2015-01-25,24,16670.0,16347.02
2015-01-25,12,18370.0,18335.53
2015-01-25,1,15935.0,15735.8
2015-01-25,2,15188.0,15104.02
2015-01-25,3,14694.0,14693.2
2015-01-25,5,14568.0,14665.62
2015-01-25,6,14685.0,14695.4
2015-01-25,4,14542.0,14646.68
2015-01-25,8,15550.0,15414.32
2015-01-25,9,16385.0,16189.48
2015-01-25,10,17452.0,17213.58
2015-01-25,11,18046.0,17977.35
2015-01-25,7,15212.0,15192.8
2015-01-25,13,18484.0,18417.18
2015-01-26,19,23605.0,23778.52
2015-01-26,16,22759.0,22629.38
2015-01-26,17,23500.0,23373.8
2015-01-26,18,23995.0,24011.48
2015-01-26,24,18390.0,18249.88
2015-01-26,22,21318.0,21156.85
2015-01-26,23,19712.0,19618.65
2015-01-26,15,22814.0,22833.72
2015-01-26,21,22728.0,22742.5
2015-01-26,14,23365.0,23217.75
2015-01-26,20,23360.0,23645.08
2015-01-26,12,23245.0,23200.12
2015-01-26,13,23304.0,23156.62
2015-01-26,1,15465.0,15517.78
2015-01-26,3,14900.0,14837.48
2015-01-26,4,14925.0,14930.38
2015-01-26,5,15240.0,15331.15
2015-01-26,2,14990.0,15032.58
2015-01-26,7,19321.0,19708.05
2015-01-26,8,21688.0,21360.2
2015-01-26,9,22465.0,22449.1
2015-01-26,10,22920.0,22858.25
2015-01-26,11,23112.0,22902.25
2015-01-26,6,16449.0,16459.12
2015-01-27,15,23120.0,23129.8
2015-01-27,16,22860.0,22986.62
2015-01-27,17,23515.0,23644.08
2015-01-27,18,24525.0,24242.4
2015-01-27,20,23605.0,23664.08
2015-01-27,21,22788.0,23008.98
2015-01-27,22,21512.0,21298.78
2015-01-27,23,19898.0,19786.58
2015-01-27,24,18593.0,18361.55
2015-01-27,19,24088.0,23893.02
