Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200126;4;14600;15281,000
20200126;5;14600;15406,325
20200126;6;14900;15456,975
20200126;7;15400;16067,538
20200126;8;15600;16304,125
20200126;9;16800;17170,475
20200126;10;17600;18165,375
20200126;11;17900;18681,688
20200126;12;18000;18952,188
20200126;13;18200;18993,475
20200126;14;18300;19222,713
20200126;15;17800;18934,500
20200126;16;17500;18756,800
20200126;17;19000;19469,150
20200126;18;19300;20318,413
20200126;19;19500;20449,800
20200126;20;19600;20498,413
20200126;21;19000;19940,675
20200126;22;18100;18980,788
20200126;23;17400;18299,588
20200126;24;16300;17290,038
20200127;1;16200;16317,600
20200127;2;15800;15972,013
20200127;3;15600;15805,025
20200127;4;15800;15829,725
20200127;5;16400;16262,338
20200127;6;18400;17342,875
20200127;7;21900;20724,288
20200127;8;23000;22906,700
20200127;9;24050;23914,950
20200127;10;24100;24271,188
20200127;11;24200;23959,350
20200127;12;24200;24051,475
20200127;13;24350;23953,638
20200127;14;24500;23950,538
20200127;15;24000;23466,075
20200127;16;23700;23298,138
20200127;17;24850;23851,063
20200127;18;24850;24538,213
20200127;19;24600;24272,125
20200127;20;24400;24215,650
20200127;21;23700;23573,313
20200127;22;22100;21991,113
20200127;23;20600;20567,888
20200127;24;19300;19209,800
20200128;1;18200;18093,225
20200128;2;17600;17573,275
20200128;3;17300;17242,138
20200128;4;17300;17224,388
20200128;5;17800;17531,800
20200128;6;19200;18527,738
20200128;7;22700;21269,288
20200128;8;23700;23144,113
20200128;9;24400;24074,138
20200128;10;24500;24485,675
20200128;11;24500;24278,300
20200128;12;24600;24409,438
20200128;13;24800;24564,538
20200128;14;24900;24529,700
20200128;15;24400;24150,200
20200128;16;23900;23977,038
20200128;17;25200;24408,775
20200128;18;25200;24912,888
20200128;19;24800;24487,100
20200128;20;24700;24315,875
20200128;21;23900;23589,375
20200128;22;22300;21997,038
20200128;23;20800;20409,950
20200128;24;19400;19241,175
20200129;1;18400;18202,475
20200129;2;17700;17562,663
20200129;3;17400;17227,825
20200129;4;17500;17347,013
20200129;5;18100;17647,575
20200129;6;19500;18421,350
20200129;7;22900;21023,738
20200129;8;23900;22892,125
20200129;9;24600;23787,450
20200129;10;24600;24133,825
20200129;11;24700;24015,250
20200129;12;24700;24409,975
20200129;13;24800;24392,975
20200129;14;24900;24523,163
20200129;15;24400;24257,538
20200129;16;24100;23981,288
20200129;17;25100;24254,863
20200129;18;25200;24809,675
20200129;19;24800;24447,463
20200129;20;24700;24344,350
20200129;21;23900;23587,000
20200129;22;22400;22007,338
20200129;23;20900;20435,988
20200129;24;19500;19232,650
20200130;1;18300;18044,713
20200130;2;17800;17470,313
20200130;3;17400;17301,900
20200130;4;17500;17339,663
20200130;5;18100;17624,325
20200130;6;19400;18484,550
20200130;7;22900;21178,088
20200130;8;24000;23052,688
20200130;9;24700;23883,550
20200130;10;25000;24206,313
20200130;11;25000;23979,063
20200130;12;25000;24187,575
20200130;13;24900;24164,638
20200130;14;25200;24384,300
20200130;15;24700;24168,463
20200130;16;24200;24006,063
20200130;17;25500;24280,025
20200130;18;25400;24719,913
20200130;19;25000;24294,275
20200130;20;24900;24195,588
20200130;21;24100;23498,150
20200130;22;22600;21989,800
20200130;23;21100;20383,350
20200130;24;19800;19197,363
20200131;1;18300;18267,063
20200131;2;17700;17539,750
20200131;3;17500;17266,388
20200131;4;17500;17328,738
20200131;5;18100;17574,125
20200131;6;19400;18328,900
20200131;7;22600;20911,425
20200131;8;23700;22616,288
20200131;9;24500;23650,138
20200131;10;24600;23912,088
20200131;11;24600;23836,588
20200131;12;24600;24005,025
20200131;13;24800;23977,450
20200131;14;24900;23964,425
20200131;15;24500;23464,988
20200131;16;24100;23239,813
20200131;17;25000;23491,050
20200131;18;25100;24260,838
20200131;19;24700;23827,038
20200131;20;24600;23557,063
20200131;21;23900;22841,913
20200131;22;22200;21360,863
20200131;23;20800;19900,488
20200131;24;19600;18677,350
20200201;1;18300;17681,325
20200201;2;17500;16974,150
20200201;3;16950;16588,813
20200201;4;17000;16474,163
20200201;5;17200;16400,125
20200201;6;17400;16575,100
20200201;7;18600;17486,588
20200201;8;19500;18207,025
20200201;9;20900;19214,300
20200201;10;21500;20237,588
20200201;11;21700;20543,313
20200201;12;21700;20568,625
20200201;13;21600;20421,725
20200201;14;21550;20287,863
20200201;15;20800;19734,488
20200201;16;20600;19598,625
20200201;17;21700;19986,713
20200201;18;21700;20866,175
20200201;19;21600;20679,988
20200201;20;21300;20417,150
20200201;21;20600;19737,838
20200201;22;19400;18619,500
20200201;23;18500;17671,050
20200201;24;17250;16658,538
